,action,animation,comedy,crime,drama,horror,romance,sci-fi,western
action,67,2,5,9,10,6,5,0,2
animation,0,103,0,0,2,2,0,0,0
comedy,7,2,76,1,20,2,7,0,4
crime,9,0,4,92,3,0,0,0,0
drama,13,1,19,9,111,1,13,0,1
horror,0,1,2,4,11,90,0,2,1
romance,10,0,5,1,28,0,45,0,0
sci-fi,0,1,0,0,0,0,0,84,0
western,1,0,1,2,2,0,0,0,77
