,action,animation,comedy,crime,drama,horror,romance,sci-fi,western
action,67,1,5,9,10,7,5,0,2
animation,0,103,0,0,1,2,0,1,0
comedy,7,2,77,2,20,1,6,0,4
crime,8,0,4,91,4,1,0,0,0
drama,16,2,16,9,116,0,8,0,1
horror,0,0,4,3,11,89,0,3,1
romance,9,0,4,0,27,0,48,0,1
sci-fi,0,1,0,0,0,0,0,84,0
western,1,0,1,1,2,0,0,0,78
