,action,animation,comedy,crime,drama,horror,romance,sci-fi,western
action,74,1,2,2,14,5,6,0,2
animation,2,33,3,0,10,3,3,0,0
comedy,4,1,68,1,37,1,7,0,0
crime,9,0,7,15,20,1,0,0,2
drama,7,1,12,1,133,4,9,0,1
horror,1,0,1,0,14,93,1,0,1
romance,5,0,12,1,34,0,37,0,0
sci-fi,2,3,1,0,0,9,0,6,0
western,0,0,1,0,2,0,0,0,80
