,action,animation,comedy,crime,drama,horror,romance,sci-fi,western
action,68,2,5,9,9,6,5,0,2
animation,0,103,0,0,2,2,0,0,0
comedy,7,2,77,2,20,1,6,0,4
crime,7,0,4,93,3,0,0,0,1
drama,16,2,16,8,117,0,8,0,1
horror,2,0,4,3,10,89,0,2,1
romance,9,0,4,0,27,0,48,0,1
sci-fi,0,1,0,0,0,0,0,84,0
western,1,0,1,0,2,0,0,0,79
