,action,animation,comedy,crime,drama,horror,romance,sci-fi,western
action,66,2,4,9,11,6,5,0,3
animation,0,104,1,0,0,2,0,0,0
comedy,7,2,74,2,23,1,6,0,4
crime,7,0,4,94,3,0,0,0,0
drama,15,2,14,8,114,0,14,0,1
horror,2,1,3,3,10,89,0,2,1
romance,9,0,5,0,27,0,47,0,1
sci-fi,0,1,0,0,0,0,0,84,0
western,1,0,1,2,2,0,0,0,77
