,action,animation,comedy,crime,drama,horror,romance,sci-fi,western
action,68,1,4,9,10,7,5,0,2
animation,0,105,0,0,0,2,0,0,0
comedy,8,1,75,2,22,1,6,0,4
crime,7,0,3,94,3,0,0,0,1
drama,15,2,18,8,116,0,8,0,1
horror,0,1,3,4,10,90,0,2,1
romance,9,0,4,0,28,0,47,0,1
sci-fi,0,1,0,0,0,0,0,84,0
western,1,0,1,2,2,0,0,0,77
