,action,animation,comedy,crime,drama,horror,romance,sci-fi,western
action,67,2,5,9,11,5,5,0,2
animation,0,104,0,0,1,2,0,0,0
comedy,7,2,77,2,20,1,6,0,4
crime,9,0,3,94,2,0,0,0,0
drama,13,2,17,9,114,1,11,0,1
horror,2,1,4,3,10,87,1,2,1
romance,12,0,5,0,27,0,44,0,1
sci-fi,0,1,0,0,0,0,0,84,0
western,1,0,1,3,2,0,0,0,76
