,action,animation,comedy,crime,drama,horror,romance,sci-fi,western
action,67,2,4,11,11,4,5,0,2
animation,0,104,0,0,1,2,0,0,0
comedy,7,2,77,2,19,1,7,0,4
crime,8,0,4,94,2,0,0,0,0
drama,14,2,15,8,113,1,14,0,1
horror,2,0,4,3,12,87,0,2,1
romance,11,0,5,0,27,0,45,0,1
sci-fi,0,1,0,0,0,0,0,84,0
western,1,0,1,2,2,0,0,0,77
