,action,animation,comedy,crime,drama,horror,romance,sci-fi,western
action,68,2,4,9,11,5,5,0,2
animation,0,104,0,0,1,2,0,0,0
comedy,7,2,77,4,18,1,6,0,4
crime,8,0,4,92,4,0,0,0,0
drama,14,1,16,9,114,0,13,0,1
horror,2,0,4,3,12,87,0,2,1
romance,11,0,5,0,26,0,46,0,1
sci-fi,0,1,0,0,0,0,0,84,0
western,1,0,1,3,2,0,0,0,76
